D time:179101 x2000063c:0x00000000
READ time:179365 0x20000638:0x00000000
READ time:179461 0x20000639:0x00000000
READ time:179557 0x2000063a:0x00000000
READ time:179656 0x2000063b:0x00000000
READ time:179749 0x2000063c:0x00000000
READ time:180016 0x20000638:0x00000000
READ time:180109 0x20000639:0x00000000
READ time:180205 0x2000063a:0x00000000
READ time:180301 0x2000063b:0x00000000
READ time:180397 0x2000063c:0x00000000
READ time:180661 0x20000638:0x00000000
READ time:180757 0x20000639:0x00000000
READ time:180856 0x2000063a:0x00000000
READ time:180949 0x2000063b:0x00000000
READ time:181045 0x2000063c:0x00000000
READ time:181309 0x20000638:0x00000000
READ time:181405 0x20000639:0x00000000
READ time:181501 0x2000063a:0x00000000
READ time:181765 0x20000638:0x00000000
READ time:181861 0x20000639:0x00000000
READ time:181957 0x2000063a:0x00000000
READ time:182101 0x2000063b:0x00000000
READ time:182245 0x2000063c:0x00000000
READ time:182509 0x20000638:0x00000000
READ time:182605 0x20000639:0x00000000
READ time:182701 0x2000063a:0x00000000
READ time:182797 0x2000063b:0x00000000
READ time:182896 0x2000063c:0x00000000
READ time:183157 0x20000638:0x00000000
READ time:183256 0x20000639:0x00000000
READ time:183349 0x2000063a:0x00000000
READ time:183445 0x2000063b:0x00000000
READ time:183541 0x2000063c:0x00000000
READ time:183805 0x20000638:0x00000000
READ time:183901 0x20000639:0x00000000
READ time:183997 0x2000063a:0x00000000
READ time:184096 0x2000063b:0x00000000
READ time:184189 0x2000063c:0x00000000
READ time:184456 0x20000638:0x00000000
READ time:184717 0x20000639:0x00000000
READ time:184816 0x2000063a:0x00000000
READ time:184909 0x2000063b:0x00000000
READ time:185005 0x2000063c:0x00000000
READ time:185269 0x20000638:0x00000000
READ time:185365 0x20000639:0x00000000
READ time:185461 0x2000063a:0x00000000
READ time:185557 0x2000063b:0x00000000
READ time:185656 0x2000063c:0x00000000
READ time:185917 0x20000638:0x00000000
READ time:186016 0x20000639:0x00000000
READ time:186109 0x2000063a:0x00000000
READ time:186205 0x2000063b:0x00000000
READ time:186301 0x2000063c:0x00000000
READ time:186565 0x20000638:0x00000000
READ time:186661 0x20000639:0x00000000
READ time:186757 0x2000063a:0x00000000
READ time:186856 0x2000063b:0x00000000
READ time:186949 0x2000063c:0x00000000
READ time:187216 0x20000638:0x00000000
READ time:187309 0x20000639:0x00000000
READ time:187405 0x2000063a:0x00000000
READ time:187501 0x2000063b:0x00000000
READ time:187597 0x2000063c:0x00000000
READ time:187861 0x20000638:0x00000000
READ time:187957 0x20000639:0x00000000
READ time:188056 0x2000063a:0x00000000
READ time:188149 0x2000063b:0x00000000
READ time:188245 0x2000063c:0x00000000
READ time:188509 0x20000638:0x00000000
READ time:188605 0x20000639:0x00000000
READ time:188701 0x2000063a:0x00000000
READ time:188797 0x2000063b:0x00000000
READ time:188896 0x2000063c:0x00000000
READ time:189157 0x20000638:0x00000000
READ time:189256 0x20000639:0x00000000
READ time:189349 0x2000063a:0x00000000
READ time:189445 0x2000063b:0x00000000
READ time:189541 0x2000063c:0x00000000
READ time:189805 0x20000638:0x00000000
READ time:189901 0x20000639:0x00000000
READ time:189997 0x2000063a:0x00000000
READ time:190096 0x2000063b:0x00000000
READ time:190189 0x2000063c:0x00000000
READ time:190456 0x20000638:0x00000000
READ time:190549 0x20000639:0x00000000
READ time:190645 0x2000063a:0x00000000
READ time:190741 0x2000063b:0x00000000
READ time:190837 0x2000063c:0x00000000
READ time:191101 0x20000638:0x00000000
READ time:191197 0x20000639:0x00000000
READ time:191296 0x2000063a:0x00000000
READ time:191389 0x2000063b:0x00000000
READ time:191485 0x2000063c:0x00000000
READ time:191749 0x20000638:0x00000000
READ time:191845 0x20000639:0x00000000
READ time:191941 0x2000063a:0x00000000
READ time:192037 0x2000063b:0x00000000
READ time:192136 0x2000063c:0x00000000
READ time:192397 0x20000638:0x00000000
READ time:192496 0x20000639:0x00000000
READ time:192589 0x2000063a:0x00000000
READ time:192685 0x2000063b:0x00000000
READ time:192781 0x2000063c:0x00000000
READ time:193045 0x20000638:0x00000000
READ time:193141 0x20000639:0x00000000
READ time:193237 0x2000063a:0x00000000
READ time:193336 0x2000063b:0x00000000
READ time:193429 0x2000063c:0x00000000
READ time:193696 0x20000638:0x00000000
READ time:193789 0x20000639:0x00000000
READ time:193885 0x2000063a:0x00000000
READ time:193981 0x2000063b:0x00000000
READ time:194077 0x2000063c:0x00000000
READ time:194341 0x20000638:0x00000000
READ time:194605 0x20000639:0x00000000
READ time:194701 0x2000063a:0x00000000
READ time:194797 0x2000063b:0x00000000
READ time:194896 0x2000063c:0x00000000
READ time:195157 0x20000638:0x00000000
READ time:195256 0x20000639:0x00000000
READ time:195349 0x2000063a:0x00000000
READ time:195445 0x2000063b:0x00000000
READ time:195541 0x2000063c:0x00000000
READ time:195805 0x20000638:0x00000000
READ time:195901 0x20000639:0x00000000
READ time:195997 0x2000063a:0x00000000
READ time:196096 0x2000063b:0x00000000
READ time:196189 0x2000063c:0x00000000
READ time:196456 0x20000638:0x00000000
READ time:196549 0x20000639:0x00000000
READ time:196645 0x2000063a:0x00000000
READ time:196741 0x2000063b:0x00000000
READ time:196837 0x2000063c:0x00000000
READ time:197101 0x20000638:0x00000000
READ time:197197 0x20000639:0x00000000
READ time:197296 0x2000063a:0x00000000
READ time:197389 0x2000063b:0x00000000
READ time:197485 0x2000063c:0x00000000
READ time:197749 0x20000638:0x00000000
READ time:197845 0x20000639:0x00000000
READ time:197941 0x2000063a:0x00000000
READ time:198037 0x2000063b:0x00000000
READ time:198136 0x2000063c:0x00000000
READ time:198397 0x20000638:0x00000000
READ time:198496 0x20000639:0x00000000
READ time:198589 0x2000063a:0x00000000
READ time:198685 0x2000063b:0x00000000
READ time:198781 0x2000063c:0x00000000
READ time:199045 0x20000638:0x00000000
READ time:199141 0x20000639:0x00000000
READ time:199237 0x2000063a:0x00000000
READ time:199336 0x2000063b:0x00000000
READ time:199429 0x2000063c:0x00000000
READ time:199696 0x20000638:0x00000000
READ time:199789 0x20000639:0x00000000
READ time:199885 0x2000063a:0x00000000
READ time:199981 0x2000063b:0x00000000
READ time:200077 0x2000063c:0x00000000
READ time:200341 0x20000638:0x00000000
READ time:200437 0x20000639:0x00000000
READ time:200536 0x2000063a:0x00000000
READ time:200629 0x2000063b:0x00000000
READ time:200725 0x2000063c:0x00000000
READ time:200989 0x20000638:0x00000000
READ time:201085 0x20000639:0x00000000
READ time:201181 0x2000063a:0x00000000
READ time:201277 0x2000063b:0x00000000
READ time:201376 0x2000063c:0x00000000
READ time:201637 0x20000638:0x00000000
READ time:201736 0x20000639:0x00000000
READ time:201829 0x2000063a:0x00000000
READ time:201925 0x2000063b:0x00000000
READ time:202021 0x2000063c:0x00000000
READ time:202285 0x20000638:0x00000000
READ time:202381 0x20000639:0x00000000
READ time:202477 0x2000063a:0x00000000
READ time:202576 0x2000063b:0x00000000
READ time:202669 0x2000063c:0x00000000
READ time:202936 0x20000638:0x00000000
READ time:203029 0x20000639:0x00000000
READ time:203125 0x2000063a:0x00000000
READ time:203221 0x2000063b:0x00000000
READ time:203317 0x2000063c:0x00000000
READ time:203581 0x20000638:0x00000000
READ time:203677 0x20000639:0x00000000
READ time:203776 0x2000063a:0x00000000
READ time:203869 0x2000063b:0x00000000
READ time:203965 0x2000063c:0x00000000
READ time:204229 0x20000638:0x00000000
READ time:204325 0x20000639:0x00000000
READ time:204421 0x2000063a:0x00000000
READ time:204517 0x2000063b:0x00000000
READ time:204616 0x2000063c:0x00000000
READ time:204877 0x20000638:0x00000000
READ time:205141 0x20000639:0x00000000
READ time:205237 0x2000063a:0x00000000
READ time:205336 0x2000063b:0x00000000
READ time:205429 0x2000063c:0x00000000
READ time:205696 0x20000638:0x00000000
READ time:205789 0x20000639:0x00000000
READ time:205885 0x2000063a:0x00000000
READ time:205981 0x2000063b:0x00000000
READ time:206077 0x2000063c:0x00000000
READ time:206341 0x20000638:0x00000000
READ time:206437 0x20000639:0x00000000
READ time:206536 0x2000063a:0x00000000
READ time:206629 0x2000063b:0x00000000
READ time:206725 0x2000063c:0x00000000
READ time:206989 0x20000638:0x00000000
READ time:207085 0x20000639:0x00000000
READ time:207181 0x2000063a:0x00000000
READ time:207277 0x2000063b:0x00000000
READ time:207376 0x2000063c:0x00000000
READ time:207637 0x20000638:0x00000000
READ time:207736 0x20000639:0x00000000
READ time:207829 0x2000063a:0x00000000
READ time:207925 0x2000063b:0x00000000
READ time:208021 0x2000063c:0x00000000
READ time:208285 0x20000638:0x00000000
READ time:208381 0x20000639:0x00000000
READ time:208477 0x2000063a:0x00000000
READ time:208576 0x2000063b:0x00000000
READ time:208669 0x2000063c:0x00000000
READ time:208936 0x20000638:0x00000000
READ time:209029 0x20000639:0x00000000
READ time:209125 0x2000063a:0x00000000
READ time:209221 0x2000063b:0x00000000
READ time:209317 0x2000063c:0x00000000
READ time:209581 0x20000638:0x00000000
READ time:209677 0x20000639:0x00000000
READ time:209776 0x2000063a:0x00000000
READ time:209869 0x2000063b:0x00000000
READ time:209965 0x2000063c:0x00000000
READ time:210229 0x20000638:0x00000000
READ time:210325 0x20000639:0x00000000
READ time:210421 0x2000063a:0x00000000
READ time:210517 0x2000063b:0x00000000
READ time:210616 0x2000063c:0x00000000
READ time:210877 0x20000638:0x00000000
READ time:210976 0x20000639:0x00000000
READ time:211069 0x2000063a:0x00000000
READ time:211165 0x2000063b:0x00000000
READ time:211261 0x2000063c:0x00000000
READ time:211525 0x20000638:0x00000000
READ time:211621 0x20000639:0x00000000
READ time:211717 0x2000063a:0x00000000
READ time:211816 0x2000063b:0x00000000
READ time:211909 0x2000063c:0x00000000
READ time:212176 0x20000638:0x00000000
READ time:212269 0x20000639:0x00000000
READ time:212365 0x2000063a:0x00000000
READ time:212461 0x2000063b:0x00000000
READ time:212557 0x2000063c:0x00000000
READ time:212821 0x20000638:0x00000000
READ time:212917 0x20000639:0x00000000
READ time:213016 0x2000063a:0x00000000
READ time:213109 0x2000063b:0x00000000
READ time:213205 0x2000063c:0x00000000
READ time:213469 0x20000638:0x00000000
