------------------------
picolo startup completed
zxe_iord_sm: 0
zxe_program offset: 26
SRAM addr:0x00200006
------------------------
picolo startup completed
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
irq iord:0x00000000
