------------------------
picolo startup completed
------------------------
last addr:17219 data:67
last addr:21315 data:83
last addr:19010 data:74
last addr:21018 data:66
last addr:23130 data:90
last addr:23114 data:90
last addr:16962 data:66
last addr:21058 data:82
last addr:19010 data:74
last addr:23130 data:82
last addr:21315 data:83
last addr:16898 data:66
last addr:17943 data:70
last addr:17155 data:67
last addr:22303 data:87
last addr:18207 data:67
last addr:22303 data:83
last addr:18271 data:67
last addr:22047 data:86
last addr:16898 data:66
last addr:21011 data:82
last addr:20047 data:70
last addr:19983 data:78
last addr:20047 data:70
last addr:21011 data:82
last addr:22039 data:86
last addr:20239 data:79
last addr:19275 data:67
last addr:17155 data:67
last addr:17155 data:67
last addr:18223 data:67
last addr:17219 data:67
last addr:18183 data:71
last addr:19279 data:75
last addr:17926 data:70
last addr:17975 data:102
last addr:18183 data:71
last addr:22295 data:86
last addr:22359 data:86
last addr:22295 data:86
last addr:22359 data:87
last addr:20239 data:79
last addr:20303 data:79
last addr:18183 data:71
last addr:18247 data:71
last addr:18183 data:71
last addr:20303 data:79
last addr:20239 data:79
last addr:20047 data:78
last addr:18954 data:74
last addr:18954 data:74
last addr:23098 data:106
last addr:18954 data:74
