last addr:250 data:4
last addr:243 data:12
last addr:243 data:12
last addr:243 data:12
last addr:243 data:12
last addr:243 data:12
last addr:243 data:12
last addr:243 data:12
last addr:227 data:12
last addr:243 data:12
last addr:243 data:12
last addr:243 data:12
last addr:243 data:12
last addr:211 data:12
last addr:243 data:12
last addr:194 data:12
last addr:243 data:12
last addr:243 data:12
last addr:211 data:12
last addr:243 data:12
last addr:194 data:12
last addr:211 data:12
last addr:211 data:12
last addr:243 data:12
last addr:211 data:12
last addr:243 data:12
last addr:194 data:12
last addr:194 data:12
last addr:178 data:76
last addr:179 data:76
last addr:179 data:76
------------------------
picolo startup completed
------------------------
last addr:253 data:140
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:254 data:254
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:254 data:254
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:254 data:254
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:254 data:254
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:254 data:254
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:254 data:254
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:254 data:254
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:254 data:254
last addr:142 data:142
last addr:206 data:206
last addr:174 data:174
last addr:238 data:238
last addr:158 data:158
last addr:222 data:222
last addr:190 data:190
last addr:254 data:254
------------------------
